family,support_regime,method,pooled_r2,pooled_nrmse,median_entity_nrmse
relaxation,four_support,ordinary_symbolic_regression,0.9949973320385209,0.07072954093926408,0.13887437887286883
relaxation,four_support,raw_q,0.9979977670864781,0.04474631731798507,0.10450072434801981
relaxation,four_support,support_only_omp_lambda_0.0,0.9992479302140506,0.027423890787949753,0.052770865153050336
relaxation,four_support,true_basis_lambda_0.0,0.9999437294838943,0.007501367615688199,0.02353081760692207
relaxation,four_support,true_basis_lambda_inf,0.9998261729229926,0.013184349699831234,0.03685908609039691
relaxation,standard_11,direct_target_omp_lambda_0.0,0.9999493878042759,0.00711422488568278,0.022762628348914547
relaxation,standard_11,fpca,0.9999565810267006,0.00658930749771462,0.022311849224241308
relaxation,standard_11,gird_adam_lambda_0.0,0.9999457595236599,0.00736481339478533,0.02414411869059291
relaxation,standard_11,gird_adam_lambda_0.1,0.9999279081326297,0.008490692985280377,0.025137038520158
relaxation,standard_11,gird_adam_lambda_inf,0.9994693409929876,0.023036037137763046,0.06065628439636328
relaxation,standard_11,gird_adam_selected,0.9999461983928299,0.007334957884682044,0.024382738127124173
relaxation,standard_11,gird_gn_lambda_0.0,0.9999457595236599,0.00736481339478533,0.02414411869059291
relaxation,standard_11,gird_gn_lambda_0.1,0.9999255896314668,0.008626144476714994,0.025137006624317795
relaxation,standard_11,gird_gn_lambda_inf,0.9994532705023161,0.023382247490006346,0.061052689314358394
relaxation,standard_11,gird_gn_selected,0.9999459335112864,0.007352991820589028,0.024381464203958748
relaxation,standard_11,global_no_q,-0.1885934156824356,1.0902263139745048,2.278347741321671
relaxation,standard_11,ordinary_symbolic_regression,0.9999236555811563,0.008737529332925868,0.03148372986922994
relaxation,standard_11,raw_q,0.997897808469432,0.04584966227321667,0.10268600576017989
relaxation,standard_11,support_only_omp_lambda_0.0,0.9999457595236599,0.00736481339478533,0.02414411869059291
relaxation,standard_11,true_basis_lambda_0.0,0.9999580993721954,0.006473069426838373,0.020759268698317727
relaxation,standard_11,true_basis_lambda_0.1,0.9999575485253607,0.006515479616980489,0.021151244571130955
relaxation,standard_11,true_basis_lambda_1.0,0.9999491848206888,0.007128476647305072,0.02137425070128665
relaxation,standard_11,true_basis_lambda_inf,0.9998066804216298,0.01390394110927447,0.03734815501920309
thermodynamic_chart,four_support,direct_target_omp_lambda_0.0,0.9999600096979092,0.006323788586819786,0.01968887053724242
thermodynamic_chart,four_support,fpca,0.9999677778983357,0.0056764515028551,0.018050039400307933
thermodynamic_chart,four_support,gird_adam_lambda_0.0,0.9999614336892092,0.006210177999925193,0.01923969203426127
thermodynamic_chart,four_support,gird_adam_lambda_inf,0.9997537713943924,0.015691673129643695,0.04780060849861516
