fold,label,offset,physical_intercept,physical_linear_temperature,physical_quadratic_temperature
1,19424,1,-0.0003394731881495288,2.1383572625325766e-05,-9.539569245837566e-08
1,19424,2,-0.0003699108393085378,2.1715895276284962e-05,-9.566143830124115e-08
1,19424,3,-0.00037155009449600304,2.1397733063340613e-05,-9.266403737227661e-08
1,28201,0,-22.674989904413174,0.1207383890854198,-0.00015710961657254012
1,28201,1,-23.124479248465093,0.12302843307228985,-0.00016001725235882794
1,28201,2,-23.58297425122671,0.12537544369981762,-0.00016301083863964685
1,28201,3,-24.382833820806,0.12961030393210252,-0.00016860075463481482
1,44259,0,-0.02413782250189539,0.00046926775235855067,4.2075272942044e-06
1,44259,1,-0.031192021607757303,0.0005744934293896316,3.8451682168057595e-06
1,44259,2,-0.032178064090792824,0.0005431837992735757,4.071791239723955e-06
1,44259,3,-0.043402543682646455,0.000707770582977235,3.5736565608190577e-06
1,45663,0,-1.1046721837388676,0.004896258353814244,-2.068324877234007e-06
1,45663,1,-1.3375267473495618,0.005870187371548345,-3.0450020406077354e-06
1,45663,2,-1.0742937300002624,0.004764867933569778,-1.9445827609316906e-06
1,45663,3,-1.2818816891511515,0.005505781767885334,-2.5817473725779468e-06
1,50784,0,-0.006885593174561235,0.0002233282528663403,-5.858096594753242e-08
1,50784,1,-0.008185581443641366,0.0002411671800556572,-1.140563748179342e-07
1,50784,2,-0.009557246610922963,0.0002513901990426425,-1.2035446759087628e-07
1,50784,3,-0.01075798234818117,0.00026848089424444475,-1.722238960105726e-07
2,1176,0,-0.0032028727876443584,5.091506337252328e-06,3.320122397394727e-07
2,1176,1,-0.0037171675908340106,8.484187781125673e-06,3.27015414912804e-07
2,1176,2,-0.00287235305382022,-1.3027384312091193e-06,3.5319041155755834e-07
2,1176,3,-0.0029020772553719487,-1.0987990614155275e-06,3.512718673910645e-07
2,2242,0,0.041714638243375124,-0.0006515934377168337,2.3656299161009654e-06
2,2242,1,0.04989115590049481,-0.0006651259206190729,2.3691587852084167e-06
2,2242,2,0.04918052927704569,-0.0006794995853397566,2.397643234322676e-06
2,2242,3,0.09319630375998264,-0.0008316840136512639,2.515214442907603e-06
2,3967,0,0.0008718562815603209,-3.279289251756904e-05,7.302063659137891e-07
2,3967,1,0.0013786758590690132,-4.270776020963527e-05,7.639884336337858e-07
2,3967,2,0.001648165046181732,-4.602096651873031e-05,7.733488670663375e-07
2,3967,3,0.0010850792838814835,-3.385426530662627e-05,7.246522642866741e-07
2,6420,0,0.13716727120853925,-0.0005878185647979986,1.2023637083417509e-06
2,6420,1,-0.019128343324497865,-0.00024276176145852972,1.010960569111155e-06
2,6420,2,-0.10738696506859174,0.000330664556834657,2.648223317830464e-07
2,6420,3,0.660203063896017,-0.002740790342306269,3.0762860074970756e-06
2,7477,0,-0.012646944990127293,0.0004047963811858144,7.672458598235219e-07
2,7477,1,-0.014095973969915354,0.0003853500012916222,9.392924649916305e-07
2,7477,2,-0.017001282438948148,0.00044357739528343805,7.483581488907453e-07
2,7477,3,-0.022720920285717674,0.0005528903189997824,3.370774953967779e-07
2,11054,0,0.003254503619632837,-0.00020015627117406047,1.1460415221966925e-06
2,11054,1,0.05174169578789901,-0.00043513106082503544,1.4258402307773687e-06
2,11054,2,0.04990881000205459,-0.0004075613065012589,1.3752454800235274e-06
2,11054,3,0.017966801850619357,-0.000262958980482606,1.2155135476340655e-06
2,11402,0,0.00785727011451097,-0.0002593498695761705,1.5206567777628024e-06
2,11402,1,0.007804916158579353,-0.0002489452241456969,1.474214805365932e-06
2,11402,2,0.008647260433587753,-0.00025810597286048066,1.4964914449418454e-06
2,11402,3,0.010049643283206497,-0.0002813238576115487,1.5715258299603377e-06
2,12216,0,0.0010979759599550817,-4.437261456067713e-05,2.4796486027026376e-07
2,12216,1,0.0013605105282325988,-4.6792433453223504e-05,2.5195996245226785e-07
2,12216,2,0.0016899353615402214,-4.954451269689977e-05,2.569723254425951e-07
2,12216,3,0.0021242766998274924,-5.390334515448049e-05,2.671482403030629e-07
2,13978,0,-0.007902547422598938,0.0004869554729836034,1.5222479745867073e-06
2,13978,1,-0.002129359733315045,0.0003493969435535469,1.6931825216584313e-06
2,13978,2,-0.017967209238030718,0.000676956308052838,9.109412518646091e-07
2,13978,3,-0.0055398373859031486,0.0006131319036800384,8.461296076860874e-07
2,16161,0,-0.008837111968271673,0.00023136651259304222,2.628148944762857e-07
2,16161,1,-0.009529810663288375,0.00022877953728962203,2.960061738902578e-07
2,16161,2,-0.011897516082346378,0.0002649667076468802,1.948751672158108e-07
2,16161,3,-0.015189631229197469,0.0002997854243284071,1.0893553281215611e-07
2,17710,0,0.0005652220074147535,0.00013630124291543985,-7.528687832595585e-07
2,17710,1,-0.0002891534946325991,0.00018237887799739427,-1.0731450113569702e-06
2,17710,2,-0.00016456422870937681,0.00017665391013265943,-1.0266255993597741e-06
2,17710,3,0.00036509335190330894,0.00015423507512787128,-8.824789890466744e-07
2,19665,0,0.07537964369521877,-0.0006776386796929468,2.0862637608961393e-06
2,19665,1,0.08289392644580776,-0.000759042024856922,2.232478001475505e-06
2,19665,2,0.09349258258192739,-0.0009167716838094392,2.703278926329342e-06
2,19665,3,0.10179683734631115,-0.00104365892414052,3.0813420403299707e-06
2,33846,0,0.05035102958777829,-0.0011035139702746694,2.6914379820586516e-06
2,33846,1,0.10000162234996285,-0.0013585825285266293,2.9847485749399938e-06
2,33846,2,-0.008561343026123852,-0.0009610058406801731,2.6246450292359275e-06
2,33846,3,-0.13322538118841154,-0.0005062657412304295,2.2206271462808613e-06
2,45057,0,0.11084424760472616,-0.00128274417656485,2.862232448863926e-06
2,45057,1,0.26240037345676204,-0.001954783439312248,3.5537407524019883e-06
2,45057,2,0.191559852438063,-0.001653528163393895,3.253237007700432e-06
2,45057,3,0.10970784468101258,-0.001317658917702883,2.9270342018768637e-06
2,46570,0,0.00020034952927203142,-7.302771763956944e-05,1.1952223747164622e-06
2,46570,1,0.0010877246551404957,-9.426196029411278e-05,1.2727893545698739e-06
2,46570,2,0.000704556252169336,-8.457136503478633e-05,1.2395122115094343e-06
2,46570,3,0.0002296198089382917,-7.605222302732779e-05,1.2096213416045277e-06
2,50798,0,-0.007621779601688094,0.00022891436473890275,-7.429150137435925e-08
2,50798,1,-0.008308632669057072,0.00023145249647504683,-5.939898157817491e-08
2,50798,2,-0.009473789471920483,0.0002485396807807139,-1.1260367648414116e-07
