regime,method,candidate_id,selected,expression_family,lambda,expected_query_rows,prediction_rows,finite_prediction_rows,coverage_complete,entity_count,finite_entity_count,physical_r2,rmse,mae,median_entity_nrmse,p90_entity_nrmse,p95_entity_nrmse,max_entity_nrmse,entity_r2_ge_0_85_count,entity_r2_finite_count,negative_prediction_count,negative_prediction_fraction,sse,sse_top1_fraction,sse_top3_fraction,sse_top5_fraction
four_support,expression,quadratic_t__lambda_1,False,quadratic_t,1.0,22754,22754,22754,True,247,247,-1.4031793058399078,1272.879766595309,105.85748665008236,0.233727949221406,0.46844396034662467,0.5861739502115574,3.768365599911414,197,247,109,0.004790366528961941,36866551871.32665,0.8873739396017745,0.9977693992559834,0.9995024097989941
four_support,expression,quadratic_t__lambda_1e-06,False,quadratic_t,1e-06,22754,22754,22754,True,247,247,-1.9182553517722734,1402.6713957280783,95.49659509642926,0.07954510156234862,0.2900559363149521,0.47318838790376233,3.707900417809741,231,247,793,0.03485101520611761,44768200208.13551,0.9018380978283012,0.9984897506319812,0.9999138971201127
four_support,expression,quadratic_t__lambda_1e-08,False,quadratic_t,1e-08,22754,22754,22754,True,247,247,-1.9182720700177653,1402.675413568933,95.49697731892977,0.0795453782582981,0.2900582389903167,0.47319134993645895,3.707901113824263,231,247,793,0.03485101520611761,44768456678.413506,0.9018383384383424,0.9984897598165218,0.9999138987083794
four_support,expression,shomate5__lambda_0.0001,False,shomate5,0.0001,22754,22754,22754,True,247,247,-2.011366899996568,1424.8729162394027,97.74181541223764,0.0835673219119583,0.29992214853192173,0.4630014553425479,4.02242313124727,231,247,1067,0.046892854003691656,46196600375.400925,0.9204194669056678,0.9982202607895105,0.9998691013738548
four_support,expression,shomate5__lambda_0.01,False,shomate5,0.01,22754,22754,22754,True,247,247,-1.5826323006171656,1319.5491902140113,83.5153527065952,0.08446886102203703,0.3177065225102857,0.4763040169115561,3.6091526722964384,230,247,849,0.037312120945767774,39619493827.98538,0.9084119476510553,0.9982646301736633,0.9998187016188302
four_support,expression,shomate5__lambda_1,False,shomate5,1.0,22754,22754,22754,True,247,247,-1.4462956168804042,1284.2476032936506,101.71263533102865,0.25197582941366026,0.4802527534937467,0.5737885169552011,3.613292714441125,196,247,156,0.006855937417596906,37527988041.991066,0.8925008276248674,0.9978244580627067,0.9994024331289728
four_support,expression,shomate5__lambda_1e-06,False,shomate5,1e-06,22754,22754,22754,True,247,247,-2.0215936973170723,1427.2903459649367,98.01279374869503,0.08368241273584945,0.2998303714539586,0.4635071296899478,4.028285449064225,231,247,1058,0.04649731915267645,46353487026.75387,0.9205947608918856,0.9982216120021142,0.9998695481068716
four_support,expression,shomate5__lambda_1e-08,False,shomate5,1e-08,22754,22754,22754,True,247,247,-2.0216970694801693,1427.3147603706007,98.01569653260695,0.08368357911484588,0.2998294493738472,0.46351221903066975,4.028344284197374,231,247,1058,0.04649731915267645,46355072832.3588,0.9205965192078116,0.9982216250538087,0.9998695517440809
four_support,support_knn,k_1,False,,,22754,22754,22754,True,247,247,-2.9092927990989215,1623.4667378746074,88.36248534645208,0.359510308809724,0.5422276501766718,0.7601463380251953,4.175739393426928,169,247,0,0.0,59971449241.40967,0.893553514447464,0.99772820663175,0.9991152448008536
four_support,support_knn,k_2,False,,,22754,22754,22754,True,247,247,-1.9457484475663192,1409.2632411489387,70.68657498464674,0.10688194873120509,0.3783957799389504,0.4958305634630883,3.504644454290044,224,247,0,0.0,45189964676.45108,0.9041042986767727,0.9986054348254647,0.9998490517598573
four_support,support_knn,k_4,False,,,22754,22754,22754,True,247,247,-1.6930701462488802,1347.4669695052085,96.77733503204217,0.2815002243012091,0.4422433583761681,0.5278751453676075,3.1191447735461812,214,247,0,0.0,41313692240.3324,0.9114852222964461,0.9982707800162214,0.9993236239093793
four_support,support_linear,support_linear,False,,,22754,22754,22754,True,247,247,-1.9344736817860686,1406.5636987076848,67.38522238315564,0.0688730557242348,0.23533572970485672,0.4451429427052384,3.5046543806636823,232,247,0,0.0,45017001412.13511,0.9038485292971628,0.9986953046550441,0.9999430242347331
four_support,support_nearest,support_nearest,False,,,22754,22754,22754,True,247,247,-2.9092927990989215,1623.4667378746074,88.36248534645208,0.35951030880972407,0.5422276501766722,0.7601463380251952,4.175739393426928,169,247,0,0.0,59971449241.40967,0.8935535144474639,0.99772820663175,0.9991152448008536
four_support,support_pchip,support_pchip,False,,,22754,22754,22754,True,247,247,-1.3766551973482333,1265.8358316741267,55.38922299740205,0.05181289766675885,0.21467248115884427,0.34734686817832094,2.9167752454876177,236,247,0,0.0,36459652386.47641,0.9127793710313143,0.9990260801345004,0.9999531754906521
prefix,expression,constant__lambda_0,False,constant,0.0,17897,17897,17897,True,247,247,0.22259896110952548,893.910017230649,181.5514933419839,2.4798589502274715,3.2344079114686726,3.7486214646204368,6.482177052186105,0,247,0,0.0,14301047403.04814,0.8436940403854705,0.9143243252984526,0.9278000276514271
prefix,expression,constant__lambda_0.0001,False,constant,0.0001,17897,17897,17897,True,247,247,0.22259896110952548,893.910017230649,181.5514933419839,2.4798589502274715,3.2344079114686726,3.7486214646204323,6.482177052186105,0,247,0,0.0,14301047403.04814,0.8436940403854705,0.9143243252984526,0.9278000276514271
prefix,expression,constant__lambda_0.01,False,constant,0.01,17897,17897,17897,True,247,247,0.22259896110952548,893.910017230649,181.5514933419839,2.4798589502274715,3.2344079114686726,3.7486214646204323,6.482177052186105,0,247,0,0.0,14301047403.04814,0.8436940403854705,0.9143243252984526,0.9278000276514271
prefix,expression,constant__lambda_1,False,constant,1.0,17897,17897,17897,True,247,247,0.22259896110952548,893.910017230649,181.5514933419839,2.4798589502274715,3.2344079114686726,3.7486214646204323,6.482177052186105,0,247,0,0.0,14301047403.04814,0.8436940403854705,0.9143243252984526,0.9278000276514271
prefix,expression,constant__lambda_1e-06,False,constant,1e-06,17897,17897,17897,True,247,247,0.22259896110952548,893.910017230649,181.5514933419839,2.4798589502274715,3.2344079114686726,3.7486214646204323,6.482177052186105,0,247,0,0.0,14301047403.04814,0.8436940403854705,0.9143243252984526,0.9278000276514271
prefix,expression,constant__lambda_1e-08,False,constant,1e-08,17897,17897,17897,True,247,247,0.22259896110952548,893.910017230649,181.5514933419839,2.4798589502274715,3.2344079114686726,3.7486214646204323,6.482177052186105,0,247,0,0.0,14301047403.04814,0.8436940403854705,0.9143243252984526,0.9278000276514271
prefix,expression,cubic_t__lambda_0,False,cubic_t,0.0,17897,17897,17897,True,247,247,-19262.818244778875,140715.65990707657,8923.319186866884,17.636951502132415,141.18760718436062,432.24031501019954,37513.50804173559,9,247,5420,0.30284405207576687,354376652590375.0,0.928981765044529,0.9902879030225673,0.995661840491195
prefix,expression,cubic_t__lambda_0.0001,False,cubic_t,0.0001,17897,17897,17897,True,247,247,-16302.3153153673,129452.13270729595,8268.610667038982,6.594606804378418,111.53536134491623,230.00505871517433,37143.032851058524,19,247,5175,0.28915460691736045,299915324894178.4,0.9210181852987531,0.9898219527563984,0.9959584121129434
