family,seed,method,gauge_id,condition_number,query_response_max_abs_difference,functional_prediction_max_abs_difference,functional_coordinate_max_abs_difference,raw_q_max_abs_change
thermodynamic_chart,0,response_metric_gauss_newton,3,3.175180316847874,3.9968028886505635e-15,5.329070518200751e-15,1.84297022087776e-14,1.424085506993378
thermodynamic_chart,0,response_metric_gauss_newton,4,5.634134873713808,1.3100631690576847e-14,6.217248937900877e-15,6.861178292183467e-14,7.37180076183752
thermodynamic_chart,1,mapped_start_adam,0,4.253803609277522,0.012440812999200301,0.015031458119346586,0.4809984151836747,0.7290702415323238
thermodynamic_chart,1,mapped_start_adam,1,6.097456003315128,0.017819566408313392,0.018862423320254784,0.5999592451005376,1.9514474378609066
thermodynamic_chart,1,mapped_start_adam,2,2.4983380495672782,0.024747377025819306,0.028788299982095866,0.9218627110595456,1.6110666147159787
thermodynamic_chart,1,mapped_start_adam,3,2.797533404006331,0.014306182019439673,0.014862577960513157,0.517108289919943,0.9585521916294322
thermodynamic_chart,1,mapped_start_adam,4,4.483026374384753,0.01714713256051903,0.01773617227026847,0.6508501343024216,1.4994593678892947
thermodynamic_chart,1,response_metric_gauss_newton,0,4.253803609277522,1.9984014443252818e-15,2.220446049250313e-15,3.569367024169878e-14,3.2819904024502375
thermodynamic_chart,1,response_metric_gauss_newton,1,6.097456003315128,1.3322676295501878e-15,1.3322676295501878e-15,2.4424906541753444e-14,4.853276047249043
thermodynamic_chart,1,response_metric_gauss_newton,2,2.4983380495672782,1.3322676295501878e-15,1.3322676295501878e-15,1.8207657603852567e-14,2.209490546724328
thermodynamic_chart,1,response_metric_gauss_newton,3,2.797533404006331,1.3322676295501878e-15,1.2212453270876722e-15,1.9539925233402755e-14,2.3617627539131125
thermodynamic_chart,1,response_metric_gauss_newton,4,4.483026374384753,1.3322676295501878e-15,1.8041124150158794e-15,2.020605904817785e-14,2.4609636755390563
thermodynamic_chart,2,mapped_start_adam,0,5.398448388604833,0.035330758612306834,0.024281960799336977,1.0072363939473006,0.7537301846752694
thermodynamic_chart,2,mapped_start_adam,1,3.507244455405496,0.01825575849091554,0.01805709202911776,0.38222362802683035,0.8290966360758785
thermodynamic_chart,2,mapped_start_adam,2,6.387146406102767,0.03947340981485237,0.0288968510572698,1.1507503523415379,1.6724587119674263
thermodynamic_chart,2,mapped_start_adam,3,6.10096059815392,0.018863554400460503,0.0189153448453786,0.37055333696963244,1.2890275100899116
thermodynamic_chart,2,mapped_start_adam,4,6.118665065899357,0.021039985504720415,0.021703630344037106,0.4293656523639473,1.3437335639203625
thermodynamic_chart,2,response_metric_gauss_newton,0,5.398448388604833,1.5210055437364645e-13,1.4377388168895777e-13,3.312905505481467e-13,4.251337053739593
thermodynamic_chart,2,response_metric_gauss_newton,1,3.507244455405496,1.4973577933119486e-12,1.4174217355389374e-12,3.1876723483037495e-12,5.326377252340776
thermodynamic_chart,2,response_metric_gauss_newton,2,6.387146406102767,4.0190073491430667e-13,3.8058445284150366e-13,8.646416915780719e-13,8.234133676422756
thermodynamic_chart,2,response_metric_gauss_newton,3,6.10096059815392,5.789813073420191e-13,5.475619957451272e-13,1.2287948436551233e-12,13.919467678413554
thermodynamic_chart,2,response_metric_gauss_newton,4,6.118665065899357,1.7877921365538896e-12,1.6919798895287386e-12,3.8262726320681395e-12,8.634778995655969
thermodynamic_chart,3,mapped_start_adam,0,4.3561535341200734,0.007639258152719985,0.008020676526716175,0.25474104323624636,0.8083529952702839
thermodynamic_chart,3,mapped_start_adam,1,6.003275690612484,0.006441092182074115,0.00686000407442805,0.21682868809903189,0.36170764358261126
thermodynamic_chart,3,mapped_start_adam,2,7.609038824684695,0.020356073789630003,0.022503718147775853,0.7050555890281758,1.6659045522604692
thermodynamic_chart,3,mapped_start_adam,3,2.485717818650113,0.010577933076026613,0.010897841567435007,0.2336475135455084,0.9295433480816514
thermodynamic_chart,3,mapped_start_adam,4,3.836387636907804,0.012159585060296518,0.012267628128679764,0.3727826561071064,0.7411787169382876
thermodynamic_chart,3,response_metric_gauss_newton,0,4.3561535341200734,3.656727143308558e-10,2.655661246464547e-10,6.232746201095818e-09,4.596869000620436
thermodynamic_chart,3,response_metric_gauss_newton,1,6.003275690612484,1.984850062086707e-10,1.4402690151626985e-10,3.3822446995901423e-09,4.856032440394032
thermodynamic_chart,3,response_metric_gauss_newton,2,7.609038824684695,2.814438682108289e-10,2.0441592862852076e-10,4.797123399902237e-09,6.489970167593235
thermodynamic_chart,3,response_metric_gauss_newton,3,2.485717818650113,1.9825918684546195e-10,1.4398016112693313e-10,3.3790835962665966e-09,4.525974560757302
thermodynamic_chart,3,response_metric_gauss_newton,4,3.836387636907804,1.6390322432613402e-10,1.1899714547070062e-10,2.7933977006511235e-09,5.271549385424725
thermodynamic_chart,4,mapped_start_adam,0,4.75885734317324,0.02171585780869051,0.02172550777044069,0.09562305181575992,1.1262805527444217
thermodynamic_chart,4,mapped_start_adam,1,2.227151137948889,0.021655389687783022,0.021628713763392926,0.17662158048454324,0.8814884585970805
thermodynamic_chart,4,mapped_start_adam,2,2.98302973604984,0.02180631939442701,0.02183531441420311,0.07542694266784578,0.7798656728645554
thermodynamic_chart,4,mapped_start_adam,3,5.98555802497159,0.02163875833447293,0.021561793452267386,0.09159892604012976,0.9080208496866805
thermodynamic_chart,4,mapped_start_adam,4,3.4131421018341035,0.021904054308238607,0.021521857904512887,0.1118841753383891,1.0854441285503256
thermodynamic_chart,4,response_metric_gauss_newton,0,4.75885734317324,1.8139212354384426e-10,1.7870849244872034e-10,5.153724114137503e-10,6.358008048077973
thermodynamic_chart,4,response_metric_gauss_newton,1,2.227151137948889,2.0674606471260404e-10,2.036859014786785e-10,5.874252195781082e-10,2.544872452761762
thermodynamic_chart,4,response_metric_gauss_newton,2,2.98302973604984,2.5594526498196046e-11,2.5215884935647637e-11,7.273470714608266e-11,6.455717322538839
thermodynamic_chart,4,response_metric_gauss_newton,3,5.98555802497159,1.1433543001260205e-10,1.1264880694916712e-10,3.248619151463572e-10,6.81052975717047
thermodynamic_chart,4,response_metric_gauss_newton,4,3.4131421018341035,2.758673289804392e-10,2.7178459482968265e-10,7.838134585824719e-10,2.5472962152296006
