label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0033,meta_fit,0.0477145500481128,-0.1592692732810974,-0.026997597888112,0.2411293387413025,3.0,0.1779055893421173,0.002079548779875,1.0,1.0,42.0,15.0,0.0,0.0,1.0451301336288452,-0.0573972314596176,1.0451301336288452,1.561705231666565,1.6374289989471436,1.6354707479476929,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0040,meta_fit,0.066719502210617,0.276229977607727,-0.2192729860544204,0.2433678209781646,0.0,0.0099040018394589,0.1124061569571495,0.0,0.0,14.0,14.0,0.0,0.0,0.7393473386764526,-0.0009229514398612,0.7393473386764526,0.7476539015769958,0.7015936374664307,0.680408239364624,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0005,meta_fit,-0.2137174755334854,-0.1691263914108276,0.0929898619651794,-0.1694687902927398,0.0,0.0013219729298725,0.0450465492904186,1.0,1.0,37.0,13.0,0.0,0.0,1.8599088191986084,0.0033993190154433,1.8599088191986084,1.829314947128296,1.8190761804580688,1.8204407691955569,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0006,meta_fit,-0.1286025494337082,-0.2170913517475128,0.0509010292589664,-0.2817349135875702,3.0,0.0127607053145766,0.0996827557682991,1.0,1.0,37.0,13.0,0.0,0.0,2.018861770629883,0.0068030487746,2.018861770629883,1.9576343297958372,1.9126639366149905,1.8811430931091309,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0026,meta_fit,-0.053112369030714,0.0122556081041693,0.1328950971364975,-0.3804655373096466,1.0,0.3277408480644226,0.1039691939949989,0.0,0.0,8.0,8.0,0.0,0.0,1.7613766193389893,0.0002237425942439,1.7613766193389893,1.7593629360198977,1.7689639329910278,1.7933334112167358,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0028,meta_fit,-0.1610274910926818,-0.2913683652877807,0.1821606904268264,-0.2100756019353866,1.0,0.0005630418891087,0.1818966716527938,0.0,0.0,8.0,8.0,0.0,0.0,1.80747652053833,0.003180450759828,1.80747652053833,1.778852462768555,1.7718486785888672,1.77993905544281,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0030,meta_fit,-0.2121602147817611,-0.1369890123605728,0.0178197305649518,-0.0378981307148933,0.0,0.0098379431292414,0.1707569658756256,0.0,0.0,12.0,12.0,0.0,0.0,1.7129466533660889,-0.0008532206411473,1.7129466533660889,1.720625638961792,1.665096402168274,1.6242637634277344,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0031,meta_fit,-0.2092548310756683,0.0935490354895591,0.2985029518604278,-0.4045555293560028,2.0,0.024559911340475,0.2974146604537964,0.0,0.0,12.0,12.0,0.0,0.0,1.779157638549805,-0.0011848608264699,1.779157638549805,1.7898213863372805,1.782772421836853,1.768707275390625,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0033,meta_fit,0.0449829287827014,-0.1635004431009292,-0.0260550323873758,0.2467705458402633,0.0,0.1788226813077926,0.0009201161446981,1.0,1.0,42.0,15.0,0.0,0.0,1.0454778671264648,-0.0571060329675674,1.0454778671264648,1.5594321489334106,1.6369857788085938,1.6347479820251465,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
B0040,meta_fit,0.0672691687941551,0.2762162089347839,-0.2184662818908691,0.2434384673833847,0.0,0.0099040102213621,0.11112991720438,0.0,0.0,14.0,14.0,0.0,0.0,0.7392035126686096,-0.0009431044454686,0.7392035126686096,0.7476914525032043,0.7016913294792175,0.6804636716842651,0.001,nasa_battery_capacity_reviewer_clean_inner2,2
